title,contents
오피스텔 한 물 갔다고 공급 줄어 귀한 몸,앵커 수익형 부동산의 대명사로 꼽히는 오피스텔 임대수익률이 갈수록 하락하고 있습니다 하지만 은행 이자율보다는 월등히 높은 수익률을 내고 있어 여전히 매력적인 투자처로 꼽히고 있는데요 특히 올해는 공급 물량이 크게 줄어 희소가치가 높아진데다 아파트 전셋값을 감당하지 못해 오피스텔로 돌아서는 실수요자도 늘고 있어 수급 측면에서도 안정적이라는 평가입니다 신동호 기자가 보도합니다 기자 지난 달 전국 오피스텔 임대수익률은 연 연 로 고점을 찍었던 지난 년 월과 비교하면 포인트 하락한 셈입니다 이처럼 오피스텔 임대수익률이 갈수록 낮아지고 있지만 투자자들의 관심은 여전합니다 은행 예금 금리가 에도 못 미치고 있는 만큼 은퇴 후 안정적인 수익을 원하는 투자자들이 몰리고 있는 겁니다 특히 대책 등 정부의 각종 규제가 아파트 등 주택에 집중되고 있는 만큼 비주택으로 분류되는 오피스텔은 상대적으로 귀한대접을 받고 있습니다 최근 아파트 못지않은 오피스텔이 등장하면서 아파트 전셋값을 감당하지 못해 오피스텔로 눈을 돌리는 실수요자가 늘고 있다는 점도 호재입니다 실제로 수도권 오피스텔 평당 평균 매매가격은 만 원 선으로 소형아파트 평당 평균 전세가격보다 만 원 가까이 낮습니다 전문가들은 올해 오피스텔 공급물량이 예년에 비해 크게 줄어든다는 점을 가장 매력적인 요인으로 꼽았습니다 올해 분기 오피스텔 분양 예정물량은 여실로 지난해 같은 기간에 비해 분의 수준에 불과합니다 오피스텔 투자에서 가장 중요한 건 입지선정 전문가들은 강남과의 접근성이 좋은 지하철 호선 역 주변을 추천했습니다 인터뷰 신정섭 신한은행 부동산 팀장 오피스텔 수익률이 떨어지고 있으나 다른 상품에 비해 수익률이 여전히 높은 편이고 소액 투자도 가능한데다 아파트에 비해 대출 규제가 적어 선정을 잘하면 예년과 비슷한 수익률을 유지할 수 있다 입지 선정만 잘하면 적은 투자금액으로도 연 대의 안정적인 수익을 올릴 수 있다는 의미입니다 한국경제 신동호입니다
달 화성 금성 나란히 오늘 밤 쌍성반월 현상 관측 시간 언제,월 일 오늘 저녁 서쪽 하늘에 달과 화성 금성이 일렬로 늘어서는 천문현상이 일어난다 한국천문연구원 은 이날 일 오후 시부터 시 사이 서쪽 하늘에 초승달 화성 금성이 일직선 상에 놓이게 된다며 누구나 맨눈으로 관측할 수 있다고 밝혔다 이날 월령은 일로 초승달이며 달과 밝은 금성 사이에서 화성을 쉽게 찾을 수 있다 통상 금성과 목성이 달과 함께 나타나는 쌍성반월 현상은 적지 않게 나타나지만 이처럼 초승달과 금성 화성이 나란히 걸리는 쌍성반월은 드문 편이다 앞서 년 월 일 저녁에 달이 금성 화성과 함께 나타나는 쌍성반월이 관측된 바 있다 이날 해가 지는 시각은 서울이 오후 시 분 부산은 시 분 광주는 시 분이다 일몰 전이라도 남서쪽 하늘에서 가장 밝은 달부터 관측할 수 있다 일몰 후에는 오후 시까지 세 천체가 가장 가까워 보인다 다음 날인 월 일에도 세 개의 천체가 일직선을 유지하나 그 간격은 전날보다 멀어져 보이게 된다 천문연 관계자는 이런 현상은 달 화성 금성의 궤도 상 위치가 지구에서 볼 때 같은 방향에 놓인 것처럼 보이기 때문에 나타나는 것으로 각 천체의 거리가 실제로 가까워지는 것은 아니다 며 흔들리지 않게 고정하면 스마트폰 등 촬영기기로도 멋진 천체사진을 찍을 수 있다 고 말했다
달러인덱스 이 붕괴됐다 당혹스러운 달러 투자자,생방송 글로벌 증시 한상춘의 지금 세계는 달러인덱스 이 붕괴됐다 당혹스러운 달러 투자자 취임 이후 선거공약 이행과정에서 혼란 도널드 트럼프 대통령이 취임한 이후 선거공약 이행 과정에서 혼란이 발생하고 있다 보호주의와 반 이민 정책 등 대외부문에 혼란이 집중되면서 다우지수는 만 선에 도달한 이후 가 넘는 하락이 나타났다 달러인덱스 역시 대가 붕괴되면서 트럼프 대통령의 당선 전 수준으로 복귀했으며 이에 따른 여파로 원 달러 환율은 원 내외로 하락했다 달러인덱스 붕괴 주로 측 요인달러인덱스 대가 붕괴된 것은 미국측의 요인이 매우 크다 이전에는 유럽 등 달러인덱스를 구성하고 있는 통화들에 약세가 나타나 상대적으로 달러 강세가 나타났던 것이다 그렇다면 현재 나타나고 있는 달러 약세는 미국측의 요인 때문인 것으로 해석할 수 있다 작년 분기 예상보다 낮은 에 그쳐작년 분기 경제성장률은 예상보다 낮은 를 기록했다 이는 년 이후 년 만에 가장 낮은 수준이며 이에 따라 미국의 경기회복세가 아직까지 완전치 못하다는 것을 시사해 다우지수가 큰 폭으로 조정되었다 이로 인해 미국경기에 대한 논쟁이 재연되고 있다 등 예측기관 올해 성장률 초반 등 예측기관들은 미국의 올해 성장률을 초반으로 전망하고 있다 워런 버핏 역시 올해 성장률이 만 되더라도 훌륭한 수준이라고 언급했다 때문에 올해 분기 의 수정 경제전망 결과에 관심이 집중되고 있다 다만 의 잠재성장률 와 의 전망을 비교하더라도 오쿤 법칙과 소득갭 상으로 디플레 갭 이 발생한다 지표 엇갈릴 때 금리결정권자 성향 중요 투표 위원 이사 명 지역 연준 인 블룸버그 정책지수 에서 사이 높으면 매파 작년 올해 비둘기 성향 강해 실질금리 월 일 월말 트럼프 달러강세 보다 약세 거듭 강조트럼프는 보호주의를 최우선순위로 두고 취임과 동시에 재협상과 탈퇴를 단행했다 보호주의는 무역적자를 축소시키는 것을 목적으로 하기 때문에 트럼프는 달러 약세를 거듭 강조하고 있는 것이다 달러강세 영향 추정 로 불리는 의 계량 모델을 통해 살펴 보면 달러가치가 상승 시 년 후 미국경제 성장은 둔화된다 이러한 상태에서 미국경제의 성장이 뒷받침되지 않는다면 달러강세의 부정적인 여파가 매우 큰 변수로 작용하기 때문에 연준 인사들이 달러강세에 대해 강하게 우려하고 있는 것이다 달러인덱스 년 상황 주로 반영달러인덱스는 현재 구성되어 있는 개국의 통화에 대비해 약세이며 신흥국 통화에 대비해서도 달러약세가 나타나고 있다 때문에 원 달러 환율이 원대로 하락한 것이다 슈퍼달러 시대가 도래할 것을 기다리기 보다 근본적인 문제를 검토해볼 필요가 있다 김현경 자세한 내용은 영상을 참조하세요 한국경제 시 생방송 글로벌증시
쇼박스,투자의 아침 스몰캡 관심주 출연 정영훈 메리츠종금증권 여의도금융센터 연구원쇼박스 오리온그룹 계열 영화 투자 및 배급 업체 매출구성 영화관 및 상영배급 케이블 판권계약 등 신작 흥행 기대 국내출시 영화 라인업 여부 중요 올해 국내 개봉예정작 편 흥행 기대 합작 영화 미호적의외 개봉 확정 화이브라더스와 년간 합작 영화 편 제작 예정 비즈니스 본격화 시동 한중 현지영화 지위 인정 사드 영향 제한적일 전망 년 연속 흑자기록 년 영업이익 억 원 기록 년 연속 억 원대 호실적 달성 전망 감독채널 시스템 도입 럭키 검사외전 흥행 성공 감독채널 확보 실적변동성 감소 기대 수익성 제고 흥행 변동성 완화 펀더멘털 개선 매수가 현재가목표가 원손절가 원 자세한 내용은 동영상을 참고하세요 투자의 아침 평일 오전 시 시 분
코스피 선 근접 트럼프 발언 원화 강세,증시라인 마켓진단 출연 이현주 투자증권 리서치부 연구위원 애플 사상 최대 분기 매출 기록 증시 트럼프 대통령의 정책불확실성 및 앞두고 관망세 애플 아이폰 판매량 단가 예상 웃돌아 업종 추가 강세 견인 전망 설 연휴 이후 증시상황 점검 외국인 글로벌 증시 경기 흐름에 민감 증시 숨고르기 속 매수강도 둔화 가능 글로벌 경기회복세 높아질 시 외국인 매수세 지속 가능 트럼프 정부 약달러 지지 외국인 수급 긍정적 국내증시에 긍정적 영향 미칠 수 있어 트럼프 대통령의 공격적인 행보 경기부양책 기대감 진정 과정 조정 예상 트럼프 정부 예산 교서 제출 월 일 예산교서 괴리율 내외로 낮아 보호무역 병행 우려 확대 가능 트럼프 정책 확인 과정 불확실성 완화 예상 트럼프 발언 영향으로 원 달러 환율 원까지 하락 트럼프 중국 일본 독일 등 환율 조작 개월 연속 수출지표 긍정적 원화강세 외국인 수급에 긍정적 월 대응전략 트럼프 불확실성 경계심리 높여야 수출 증가세 지속 경기민감주 긍정적 분기 실적 기대감 반영 가능성 높아 분기 이익추정치 상향조정 업종에 관심 필요 디스플레이 반도체 하드웨어 철강 화학 등양경식 자세한 내용은 동영상을 참고하세요 평일 오전 시
파인텍,출발 증시 스몰캡 분석 출연 이정기 하나금융투자 스몰캡팀 팀장파인텍 모듈 등 디스플레이 전문업체 월 일 만주 신규 상장 유상증자 물량 오버행 이슈 실적 호전 예상 세광테크 인수 분야 진출 년 월 디스플레이 본딩장비 업체 세광테크 인수 주요 고객사 중소형 라인 납품 레퍼런스 보유 년 매출액 억 원 영업이익 억 원 전망 년 는 배 수준 증설을 통한 신규수주 기대 목표가 원 자세한 내용은 동영상을 참고하세요 출발 증시 평일 오전 시 분
정책 불확실성 증가 월 증시 전망,출발 증시 마켓진단 출연 임노중 유화증권 투자분석팀 팀장 월 증시 전망 월 코스피 밴드는 의 박스권을 전망한다 일시적으로 를 상회할 가능성은 있지만 안착하기에는 여전히 어려울 것이다 월 증시의 핵심은 트럼프 행정부의 정책 불확실성이다 트럼프 대통령이 이미 탈퇴 반 이민정책 등 공약사항을 실행해 나가고 있기 때문에 글로벌 금융시장의 변동성을 확대시키고 있다 한편 지난 해 분기 기업실적은 양호할 것으로 예상된다 현재 이미 많은 대형주들이 실적을 발표했기 때문에 실적이 증시에 주는 영향력은 약해질 것으로 판단된다 내일 회의 결과 발표이번 는 시장에 큰 이슈가 되지 않을 것으로 판단된다 이미 지난 해 월 금리인상을 단행했기 때문에 단기적으로 추가 금리인상을 결정하기는 어렵기 때문이다 그렇지만 최근 미국의 고용상황이 경제성장을 뒷받침하고 있으며 물가도 점차 상승하고 있기 때문에 추가 금리인상 여부에 주시할 필요가 있다 월 중국 시장 흐름에 따른 국내시장 영향은 최근 발표되고 있는 중국의 경제지표들이 긍정적이기 때문에 지난 해 월과 같이 경기둔화 우려가 주가하락을 촉발하지는 않을 것으로 판단된다 다만 트럼프 행정부가 중국에 대한 관세 환율 문제 등에 대해 본격적으로 문제 삼을 경우 증시가 급변동할 가능성이 있다 이럴 경우에는 국내증시에 충격이 불가피할 것이다 때문에 트럼프 행정부의 정책에 대해 관심을 지속해야 한다 이번 주 주목해야 할 실적발표 기업오늘은 현대산업이 실적을 발표하고 내일은 상사 아모레퍼시픽 롯데케미칼 등이 실적발표 한다 일에는 이노베이션 등이 분기 실적을 발표할 예정이다 이 중 롯데케미칼과 이노베이션은 지난 해 분기 국제유가 상승이 실적개선으로 연결되었을 것으로 예상되고 있기 때문에 관심 가질 필요가 있다 월 증시 대응전략 월 증시는 트럼프 행정부의 정책 불확실성으로 하방압력이 증대될 가능성이 높다 트럼프 공약 중 하나인 각국의 환율과 한미 에 대해 언급이 있다면 국내증시의 하방압력이 매우 높아질 것이다 때문에 월에는 보수적인 시각으로 시장에 접근하는 것이 유효할 것이다 그렇지만 금년에 실적개선이 지속될 것으로 전망되는 반도체 디스플레이 업종에 대해서는 관심을 지속해야 한다 자세한 내용은 동영상을 참고하세요 출발 증시 평일 오전 시 분
김동환의 시선 가성비,증시라인 김동환의 시선 출연 김동환 경제 칼럼니스트 경희대학교 국제지역연구원 객원연구위원오늘 김동환의 시선이 머무는 곳은 가성비 입니다 시청자 여러분 가격 대비 성능이 좋냐고 할 때 흔히 가성비란 용어를 쓰죠 사실 소비라는 것은 모두 가성비에 의해 결정됩니다 가성비가 좋은 물건을 사면 내내 흐뭇하지만 가성비가 너무 떨어지는 물건을 사게 되면 바가지를 썼다고 합니다 가격이 싼 물건이나 반대로 성능보다 디자인이나 브랜드가 더 우선인 패션제품의 경우는 가성비라는 게 큰 의미가 없지만 집에 필수적으로 갖춰야 할 냉장고 같은 건 그야말로 가성비가 중요하죠 가격도 비싼데다가 오래 쓰는 물건이기 때문에 가성비가 좋은 제품을 사용하다 보면 그 브랜드에 대한 자부심이 생깁니다 본인의 잘한 선택과 브랜드가 섞이면서 로열티가 생기게 되는 겁니다 삼성 을 쓰던 사람은 평생 삼성 를 보고 딸 시집갈 때도 삼성 를 사주고 세탁기를 만족하고 쓴 분들은 드럼 세탁기가 나와도 여전히 이고 며느리 볼 때 삼성 세탁기 고를라치면 안 된다며 시어머니의 귀여운 갑질을 하게도 됩니다 결국 평생 같이 가는 가전 브랜드의 시작은 가성비입니다 시청자 여러분 요즘 롯데 하이마트나 용산 전자랜드 가보셨습니까 삼성 옆에 중국 가전브랜드들이 떡 버티고 있습니다 그런데 그 가격이 실로 엄청납니다 일부 고객들은 이 가격이 맞냐고 물어보는 분들도 있다고 합니다 인치 평판 가 만 원대에 팔리고 있는데 국내 브랜드는 만 원 선입니다 물론 성능과 기능의 차이가 있을 겁니다 그러나 과연 그 성능의 차이가 가격과 같이 배나 될까요 여러분들은 집에 있는 벽걸이 의 기능을 얼마나 활용하고 있습니까 저는 사실 방송을 하는 입장인데도 그저 보고 정도로 지나간 프로그램 보는 정돕니다만 아마도 집에서 주로 보는 중년 이상의 세대들 대동소이하지 않을까요 냉장고 세탁기도 마찬가지일겁니다 물론 여기에도 애프터 서비스 같은 소프트웨어적인 차별화가 있을 겁니다 그런데 어쩌죠 저는 집에 를 들여놓은 지 거의 년 가까이 됐습니다만 아직 한번도 고장이 난 적이 없던데요 년 상해에 출장을 갔을 때가 기억이 납니다 당시만 해도 삼성 갤럭시가 애플의 아이폰과 함께 중국 스마트폰 시장을 양분하던 때 였습니다만 중국 로컬 스마트폰을 쓰고 있는 젊은이들에게 직접 물어봤습니다 왜 삼성이나 애플의 스마트폰을 사용하지 않고 로컬 저가폰을 쓰냐고요 답은 돈이 없어서랍니다 그래서 한번 더 물었습니다 나중에 취직해서 돈 벌면 바꿀 거냐고 답은 노였습니다 이유는 그저 쓸만하다는 것이었습니다 중국 스마트폰 시장은 이제 완전히 로컬 폰이 선두권을 장악해 버렸습니다 가성비의 승리입니다 가전의 경우 대 중국 수출이 작년 기준으로 억 달러를 조금 넘고 수입이 억 달러를 넘습니다 배나 무역 역조입니다 중국의 고급 호텔에 년 전만해도 대부분 소니나 삼성 의 가 걸렸었습니다 지금은 한국의 호텔에도 중국산 가 걸립니다 그럼 미국이나 유럽의 호텔에는 어떻게 될까요 삼성 의 가전이 잘 나간다고 하지만 혁신이 가성비를 만족시키지 못하고 가격을 앞세운 가성비에 밀리기 시작하면 승부는 의외로 빨리 끝납니다 요즘 제네랄 일렉트릭 있습니까 소니 그래도 일제인데 하는 분들 있습니까 삼성 에 가성비에 밀려서 몰락한 가전 브랜드들입니다 언제나 추격은 생각보다 쓸만한데 에서부터 시작됩니다 년 정도 이후에 우리 가정에 중국산 냉장고 세탁기가 일반화될 수도 있습니다 중국이 사드를 무기로 한류를 억제하고 우리 화장품에 규제를 한다고 야단법석이지만 사실은 우리도 모르는 사이 중국산 제품의 공습이 시작된 지 한참입니다 정신 바짝 차려야 합니다 지금까지 김동환의 시선이었습니다 자세한 내용은 동영상을 참고하세요 증시라인 평일 오전 시
산업 투자 아이디어 세대 이동통신 관련주,증시라인 앵커 김동환 경제 칼럼니스트 경희대학교 국제지역연구원 객원연구위원 출연 서형석 골든브릿지증권 상무 산업 투자 아이디어 세대 이동통신 관련주 의 초고대역 주파수 사용 최대 다운로드 속도 대비 배 다운로드 시 초 내외 완료 사용가능 속도 시속 고속열차에서 자유로운 통신 가능 년 음성 이동통신 시작 년 문자 서비스 결합한 방식 년 사진 미디어 전송 가능한 서비스 장착 년 데이터 다운로드 속도 웨어러블 기기 자동차 등 통신기반 디바이스 확산 데이터 속도 상승에 따른 트래픽 증가와 상승 산업 확산과 차 산업인 자율주행자동차 및 등 신성장 산업 성장 기지국 장비 중계기 계측기 통신서비스 기업 순으로 수혜 예상 기지국 장비 에이스테크 인빌딩 중계기 쏠리드 계측기 이노와이어 통신서비스 텔레콤 유플러스 자세한 내용은 영상을 참조하세요 증시라인 평일 오전 시
실적시즌 반환점 월 증시 전망은,증시라인 앵커 김동환 경제 칼럼니스트 경희대학교 국제지역연구원 객원연구위원 출연 홍춘욱 키움증권 이코노미스트국내 월 수출이 증가하면서 오랜만에 두 자릿수의 증가율을 보였다 다만 설 연휴에 따른 조업일수 감소로 인해 안팎으로 예상했던 증가율에 미치지는 못했다 그러나 일평균 수출 증가율은 개월 만에 가 넘는 증가세를 기록했으며 이는 국내시장에 아주 큰 호재거리가 될 것이다 이러한 증가세를 주도한 반도체를 비롯해 정보통신 기업들의 수출증가율이 두드러졌으며 석유 화학 업종도 개선되는 모습을 보이며 수출 증가율에 기여했다 최근 나타나고 있는 국내 수출제품의 가격반등에 기저효과가 분명히 존재한다는 것을 인정해야 하지만 가장 중요한 것은 물량 기준 수출도 꾸준히 증가하고 있다는 것이다 그렇다면 분기 초반까지는 기저효과가 작용해 수출이 강한 탄력을 보일 가능성이 높다 국내의 수출 비중을 고려했을 때 선진국향 수출이 매우 중요하다 현재 유럽 경기는 독일을 중심으로 개선 조짐이 나타나고 있지만 아직까지 국가별로 차별화 또는 차등화가 진전되고 있다 반면 미국경기는 수입이 급격히 증가해 순수출이 감소하고 있기 때문에 트럼프정부의 관세 반덤핑 등의 각종 규제만 강화되지 않는다면 국내를 비롯한 미국향 수출국의 수요는 상당히 증가할 수 있는 여건이다 이러한 요인만 고려할 때 국내수출은 향후 개월 동안 물량이 증가할 수 있는 여건이 조성되고 있는 것으로 해석할 수 있다 최근 분기 실적시즌이 진행되는 동안 순이익에 대한 추정치 변화를 살펴보면 유틸리티 의류 미디어 의료 업종 등은 실적전망이 악화되었다 반면 반도체 하드웨어 디스플레이 화학 등과 같은 수출 관련 업종은 이익전망의 상향조정 폭이 매우 커졌다 이에 동조화된 국내 애널리스트들의 이익전망치도 고려해볼 때 위 아래 방향성은 모두 수출에서 긍정적인 측면에 시선을 집중하고 있는 것으로 판단된다 트럼프 정부의 정책 불확실성은 앞으로 시장의 노이즈 요인으로 계속 작용할 것이다 하지만 투자자들에게 안전판 역할을 하는 것은 실적과 배당이다 때문에 현재와 같이 수출이 회복될 수 있는 가능성이 계속적으로 나타난다면 코스피 선도 돌파할 수 있을 것이다 미국경기가 우호적으로 변해가고 있는 상황에서 트럼프 정부가 집권했기 때문에 굳이 많은 노이즈를 발생시킬 수 있는 정책을 시행하기 보다 반 이민에 집중된 정책이 지속될 것으로 예상된다 분기 실적추정치 변화와 마찬가지로 반도체 디스플레이 하드웨어 업종의 실적전망이 가파르게 상향 조정 중이며 이 영향으로 기업의 분기 순이익 추정치는 나 상향 조정되었다 따라서 년 월 시장은 트럼프 정책 불확실성으로 조정 가능성 높으나 기업실적 개선이 버팀목 역할을 할 것으로 전망된다 자세한 내용은 영상을 참조하세요 증시라인 평일 오전 시
